latitude,longitude,prix,surface,pieces,type_bien,code_postal,departement,ville
48.5947274,7.7742476,597600,96.7,5.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,587900,90.9,5.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,464900,79.9,4.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,462500,89.6,4.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,431100,84.9,4.0,Appartement,67000,67,Strasbourg
48.5346123,7.7809064,420000,74.4,4.0,Appartement,67100,67,Strasbourg
48.5947274,7.7742476,400563,63.0,3.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,398000,83.7,4.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,341996,66.5,3.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,308000,65.2,3.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,300700,60.1,3.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,295000,63.9,3.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,269000,72.0,4.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,236800,41.7,2.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,229463,47.5,2.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,215000,55.3,3.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,200500,37.4,2.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,199000,31.8,1.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,181800,27.4,1.0,Appartement,67000,67,Strasbourg
48.5947274,7.7742476,171000,27.8,1.0,Appartement,67000,67,Strasbourg
